[[0. 0. 0. 0. 0. 0.]]
[[ 2.14988997e-04  1.06281524e-03 -9.26193287e-03 -1.36245880e-04
  -3.16379434e-04  5.12261056e-05]]
[[-1.72273195e-03 -1.65508721e-04 -1.02353028e-02  1.50504609e-04
  -3.32418351e-04  6.90753417e-05]]
[[-9.35000504e-04  3.66006723e-04 -8.00449443e-03  1.95894896e-04
  -4.42283206e-04  6.87295808e-05]]
[[-0.00035466  0.00054993 -0.00908289  0.00015398 -0.00033875  0.00017404]]
[[ 1.06251107e-03  1.90278956e-03 -8.60370659e-03  5.17002607e-05
  -3.82758282e-04  1.47540438e-04]]
[[ 2.76679625e-06  1.66161591e-03 -8.25610876e-03  4.56433162e-04
  -3.63465029e-04  7.59140416e-05]]
[[-1.43701414e-03  5.72931208e-04 -9.54522452e-03  3.01824590e-04
  -4.31446313e-04  4.71168318e-05]]
[[-3.13613695e-04  9.60063045e-04 -1.08370372e-02  2.27010988e-04
  -3.30846526e-04  1.62968642e-05]]
[[-9.67466960e-04 -1.59063741e-03 -1.16489022e-02  1.26757925e-04
  -3.26060555e-04 -1.39979704e-05]]
[[-0.11399762  0.05317236 -0.00476573  0.02209287  0.10561528  0.00367453]]
[[-0.0588948   0.03746266  0.00254195  0.01498986  0.05296508  0.00132444]]
[[-0.06271244  0.02589668 -0.00527087  0.00224556  0.05045808  0.00192991]]
[[-0.08737727  0.03433483 -0.00046798  0.00651209  0.06354497  0.00218789]]
[[-0.13601193  0.0539227   0.00156895  0.01901202  0.09959285  0.00298982]]
[[-0.15115869  0.05292624  0.01135801  0.01773543  0.10932682  0.00337616]]
[[-0.17197496  0.05355702  0.01454868  0.01583297  0.12642098  0.00417315]]
[[-0.1792975   0.05889319  0.01449799  0.02058418  0.13093631  0.00408917]]
[[-0.18942526  0.06458987  0.01264385  0.02672526  0.13536699  0.00392959]]
[[-0.19604223  0.05964751  0.01730368  0.02334048  0.13948518  0.00435576]]
[[-0.19906804  0.05574134  0.01978793  0.02128907  0.14388889  0.00466943]]
[[-0.20075749  0.05826737  0.01953744  0.02532336  0.14371216  0.00435538]]
[[-0.20422218  0.06129343  0.01953134  0.02926427  0.14416506  0.00418524]]
[[-0.20613231  0.05633032  0.02303926  0.02584542  0.14661252  0.00448432]]
[[-0.2086736   0.05389804  0.02268176  0.02376753  0.14880814  0.0046845 ]]
[[-0.20924519  0.05810996  0.02503588  0.02826089  0.14745396  0.00426033]]
[[-0.20838393  0.05975949  0.02722499  0.03015953  0.14772091  0.00418414]]
[[-0.20802033  0.05443116  0.02818716  0.02659421  0.14919842  0.00455213]]
[[-0.20952905  0.05237984  0.02856848  0.02561594  0.15028701  0.00465151]]
[[-0.20870627  0.05606327  0.0321424   0.02910006  0.14871072  0.00439734]]
[[-0.20761512  0.05665199  0.03432983  0.02998634  0.14851597  0.00430881]]
[[-0.2071369   0.05152759  0.03602647  0.02614597  0.14982956  0.00457762]]
[[-0.20606393  0.05144545  0.03863815  0.02551578  0.15019362  0.00466246]]
[[-0.20604724  0.05476264  0.03906729  0.02876048  0.14834485  0.00433941]]
[[-0.20634649  0.05452409  0.0404051   0.0288627   0.14832784  0.00429897]]
[[-0.20793516  0.05304881  0.0422966   0.02537265  0.14946516  0.00457677]]
[[-0.20548104  0.0527927   0.0405482   0.02505606  0.14939803  0.00464038]]
[[-0.20319227  0.05575137  0.04102567  0.02790466  0.14799403  0.0043869 ]]
[[-0.20292653  0.05358401  0.04081079  0.02703852  0.14800527  0.0044355 ]]
[[-0.20581088  0.05228839  0.03806715  0.02404787  0.14907395  0.00462635]]
